x,y,token
39.286263,-1.928888,used
-13.23897,24.790346,anger
41.25963,-10.487285,longer
41.40117,-5.025635,company
58.83566,10.55949,party
47.50638,2.871542,already
7.1666126,-51.51387,forward
-24.383451,33.379185,ways
-19.999134,-45.424183,wild
20.938623,3.3338747,sense
-11.13663,36.3351,lest
48.821854,-1.1329266,appeared
26.103283,-1.9262617,seem
-19.519808,-12.996693,darkness
-8.120667,38.703503,sake
-30.70258,11.592289,carried
-8.72936,45.976063,deliver
26.359785,25.805511,ill
31.701538,32.289543,hardly
11.502209,34.093018,mary
25.464739,-8.111337,comes
-3.9614863,-38.405415,close
-23.392979,6.5522943,followed
19.804007,20.932116,use
-33.028145,43.920277,hosts
-30.124018,28.432476,covenant
-26.856707,43.532993,mercy
20.679615,5.2219644,common
-55.6269,-13.628123,oil
-14.493593,12.050016,born
-54.065926,25.02521,died
34.060104,29.813208,possible
-70.450066,6.8796825,six
-56.116875,17.349564,babylon
24.376518,12.851038,idea
-19.341173,-1.071062,sleep
-3.9909482,19.593191,vain
22.539696,37.911285,care
-8.027498,-55.248863,line
33.0995,9.175629,general
10.797668,-49.47927,standing
-24.25873,50.056274,thyself
-57.730766,20.05219,number
37.797623,-3.859457,pretty
-43.83858,10.757866,battle
-35.415237,28.609274,concerning
7.9947367,10.935136,except
-2.4462562,39.307594,receive
39.98102,-12.471943,morrow
-5.8891244,46.792995,wait
-4.241256,32.617447,perfect
34.208836,-49.481564,silent
45.58884,-24.78106,susan
31.237703,-3.184469,fellow
31.860392,-5.7065663,yourself
20.000801,19.613945,means
51.979515,-13.012977,spoke
-34.631092,-39.71744,hill
-52.603897,19.946405,princes
-12.509197,52.05299,wisdom
49.29098,29.09917,feelings
-23.409672,-50.408497,blue
44.6239,-8.899088,early
-12.972216,39.03457,doth
38.918224,-0.471836,sometimes
41.55006,-22.193995,girl
2.329151,20.35894,became
-23.805454,50.20477,wilt
10.126648,48.5709,play
-3.0616574,44.378784,rise
14.930574,-56.3571,window
30.12687,3.3364959,wonder
36.733047,30.830282,state
-43.968746,-23.410229,iron
-32.827805,6.0736885,cometh
-22.780909,-8.6984,cold
-13.458321,49.51178,grace
22.747112,26.51814,need
-17.239168,31.674654,iniquity
7.627142,42.981396,follow
5.449736,24.929771,beginning
-52.114788,25.462572,pharaoh
-53.39769,-23.76053,length
63.567955,20.81977,mr_knightley
45.418552,-32.067234,added
57.699165,9.964822,visit
8.767452,41.954903,stay
34.468224,43.169052,wanted
60.243153,18.496958,edward
-11.534401,37.15766,serve
-58.584236,3.6837416,south
57.293804,6.455558,town
27.95308,14.470499,change
16.222792,-44.95773,instant
-0.012020536,55.44307,st
-52.50136,13.771522,multitude
57.055874,24.170387,pleased
10.224679,-12.606597,whales
57.525547,4.619042,street
-41.37999,45.81129,42
-70.52787,8.796295,twelve
-45.302372,35.594147,prophet
